id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5493489947","EDEKA Bergmann",null,null,"yes","1","no",null,"Mo-Sa 07:30-21:00","EDEKA Bergmann",null,"1","11kW",10.4015288,53.2447513
"node/5493520931","Avacon AG",null,null,"yes","2","yes",null,"24/7","Avacon AG",null,"2","22kW",10.4054193,53.2503493
"node/5493533465","Avacon AG",null,null,"yes","2","no",null,"24/7","Avacon AG",null,"2","22kW",10.4002842,53.2598271
"node/5494748087",null,null,null,null,null,null,null,null,null,null,null,null,9.0763418,54.774793
"node/5494818804",null,null,null,null,"2",null,null,null,null,null,"2",null,12.526602,48.2444601
"node/5495799768",null,"400",null,"yes","2",null,null,"24/7","Avacon",null,"2","22kW",10.4537822,53.2890945
"node/5495844468",null,"400",null,"yes","1",null,null,"24/7","Leuphana Universität Lüneburg",null,"1","11kW",10.4035056,53.2299367
"node/5495844469",null,"400",null,"yes","1",null,null,"24/7","Leuphana Universität Lüneburg",null,"1","11kW",10.397948,53.2296734
"node/5496040396","Elektrotankstelle Reppenstedt",null,null,null,null,null,null,null,"David Communication e.K.","2","1","11kW",10.3506178,53.2447168
"node/5496040397","Elektrotankstelle Reppenstedt",null,null,"yes","1",null,null,"24/7","David Communication e.K.",null,"1","11kW",10.3506097,53.2446622
"node/5496040398","Elektrotankstelle Reppenstedt",null,null,"yes","1",null,null,"24/7","David Communication e.K.",null,"1","22kW",10.3501886,53.2450793
"node/5496040399","Elektrotankstelle Reppenstedt",null,null,"yes","1",null,null,"24/7","David Communication e.K.",null,"1","22kW",10.3501893,53.2450199
"node/5496040400","Elektrotankstelle Reppenstedt",null,null,"yes","1",null,null,"24/7","David Communication e.K.",null,"1","22kW",10.3501859,53.2450522
"node/5496064252",null,null,null,"yes","2",null,null,"24/7",null,null,"1","43kW",10.4616143,53.2389985
"node/5496084733",null,null,null,"yes","2",null,null,"24/7",null,null,"1","22kW",10.4578203,53.2398677
"node/5496091319",null,null,null,null,"4",null,null,null,"eins energie in sachsen",null,null,null,12.9192317,50.8549073
"node/5496155211",null,null,null,"no","2","no",null,"24/7","VW Autohaus Woldegk",null,"1","22kW",13.4418985,53.33596
"node/5496255048",null,null,null,null,"2","yes",null,null,"Ladeverbund Franken+",null,null,null,10.9757507,49.4768741
"node/5497083896","KITA Wiesenkinder",null,null,"yes","2","no",null,"24/7","Versorgungsbetriebe Elbe","2","2","22 kW",10.7270658,53.3744812
"node/5497083897",null,null,null,"yes","2","no",null,"24/7","Versorgungsbetriebe Elbe","2","2","22 kW",10.6987323,53.3755373
